fips,county,state,base_cancer,base_neuro,base_amr,w_pm25,w_poverty,w_access,pm25,poverty,access
02198,Prince of Wales-Hyder,AK,0.5,0.5,0.37552222222222215,1.0,0.8,-0.7,,0.7402837754472551,0.889
02220,Sitka,AK,0.5,0.5,0.049733333333333365,1.0,0.8,-0.7,,0.09561998766193695,0.912
02230,Skagway,AK,0.5,0.5,0.02909999999999999,1.0,0.8,-0.7,,0.3177051202961137,0.903
02240,Southeast Fairbanks,AK,0.5,0.5,0.08116666666666662,1.0,0.8,-0.7,,0.4256631708821718,0.885
02275,Wrangell,AK,0.5,0.5,0.28726666666666667,1.0,0.8,-0.7,,0.44108574953732277,0.898
02282,Yakutat,AK,0.5,0.5,0.3551888888888888,1.0,0.8,-0.7,,0.592227020357804,0.879
02290,Yukon-Koyukuk,AK,0.5,0.5,0.5771666666666666,1.0,0.8,-0.7,,0.9376927822331899,0.865
04001,Apache,AZ,0.65,0.7,0.6567444444444444,1.0,0.8,-0.7,2.6962725,0.7803824799506478,0.859
04003,Cochise,AZ,0.5,0.5,0.3614888888888888,1.0,0.8,-0.7,,0.2251696483652068,0.858
04005,Coconino,AZ,0.5,0.5,0.030299999999999994,1.0,0.8,-0.7,,0.0,0.899
04007,Gila,AZ,0.5,0.5,0.4562999999999999,1.0,0.8,-0.7,,0.3516347933374459,0.879
04009,Graham,AZ,0.5,0.5,0.18800000000000003,1.0,0.8,-0.7,,0.376310919185688,0.84
04011,Greenlee,AZ,0.5,0.5,0.1260777777777778,1.0,0.8,-0.7,,0.1511412708204812,0.839
04012,La Paz,AZ,0.2269813382822198,0.7138604521183506,0.6642444444444444,1.0,0.8,-0.7,4.249941777777778,0.44417026526835346,0.834
04013,Maricopa,AZ,0.2956612739113507,0.288366034008957,0.11647777777777776,1.0,0.8,-0.7,8.347610509727627,0.04318322023442339,0.871
04015,Mohave,AZ,0.6169875076642326,0.8477653540596898,0.39707777777777764,1.0,0.8,-0.7,8.5191666,0.38864898210980886,0.869
04017,Navajo,AZ,0.5,0.5,0.4667777777777776,1.0,0.8,-0.7,,0.6508328192473783,0.87
04019,Pima,AZ,0.15308252353490528,0.33121359160134745,0.1469888888888889,1.0,0.8,-0.7,6.391867542857143,0.06785934608266514,0.873
04021,Pinal,AZ,0.43409359178879847,0.5317327311857655,0.2977666666666667,1.0,0.8,-0.7,9.139138085714285,0.4071560764959902,0.863
04023,Santa Cruz,AZ,0.4144144144144144,0.625,0.5359888888888888,1.0,0.8,-0.7,11.159483411764706,0.336212214682295,0.743
04025,Yavapai,AZ,0.5,0.5,0.2262444444444444,1.0,0.8,-0.7,,0.021591610117211696,0.894
04027,Yuma,AZ,0.37507188879079467,0.5610654799673994,0.45341111111111104,1.0,0.8,-0.7,7.8493216666666665,0.4380012338062924,0.759
05001,Arkansas,AR,0.7061295582462201,0.7389411657554474,0.46885555555555536,1.0,0.8,-0.7,8.814407,0.653917334978409,0.889
05003,Ashley,AR,0.8398260889574429,0.9430169565581171,0.7153666666666665,1.0,0.8,-0.7,8.432499,1.0,0.871
05005,Baxter,AR,0.5,0.5,0.44999999999999984,1.0,0.8,-0.7,,0.5829734731647138,0.9
05007,Benton,AR,0.5,0.5,0.0871444444444445,1.0,0.8,-0.7,,0.2128315854410856,0.891
05009,Boone,AR,0.5,0.5,0.3007222222222221,1.0,0.8,-0.7,,0.6107341147439856,0.905
05011,Bradley,AR,0.5,0.5,0.6678222222222222,1.0,0.8,-0.7,,0.8821714990746455,0.848
05013,Calhoun,AR,0.5,0.5,0.4194888888888888,1.0,0.8,-0.7,,0.5983960518198644,0.898
05015,Carroll,AR,0.5,0.5,0.4610999999999999,1.0,0.8,-0.7,,0.592227020357804,0.863
05017,Chicot,AR,0.5,0.5,0.7429,1.0,0.8,-0.7,,1.0,0.857
05019,Clark,AR,0.5,0.5,0.28786666666666666,1.0,0.8,-0.7,,0.5397902529302905,0.896
05021,Clay,AR,0.5,0.5,0.3829999999999999,1.0,0.8,-0.7,,0.6847624922887109,0.89
05023,Cleburne,AR,0.5,0.5,0.45807777777777764,1.0,0.8,-0.7,,0.6169031462060457,0.899
05025,Cleveland,AR,0.5,0.5,0.45029999999999987,1.0,0.8,-0.7,,0.7618753855644665,0.899
05027,Columbia,AR,0.5,0.5,0.40633333333333327,1.0,0.8,-0.7,,0.5490438001233809,0.89
05029,Conway,AR,0.5,0.5,0.5002666666666665,1.0,0.8,-0.7,,0.7834669956816782,0.888
05031,Craighead,AR,0.5,0.5,0.18735555555555553,1.0,0.8,-0.7,,0.49660703269586703,0.894
05033,Crawford,AR,0.5,0.5,0.2992444444444444,1.0,0.8,-0.7,,0.5613818630475015,0.884
05035,Crittenden,AR,0.7212261531105358,0.7416494439789151,0.5735666666666667,1.0,0.8,-0.7,7.95124,0.9654534238124619,0.877
